timestep,biomass,brown coal/ lignite
1,4507,14704
2,4515,14749
3,4517,14738
4,4506,14760
5,4501,14793
6,4506,14788
7,4510,14787
8,4510,14870
9,4491,14879
10,4493,14853
11,4499,14848
12,4500,14907
13,4498,14976
14,4500,14993
15,4504,14979
16,4506,14934
17,4491,14957
18,4492,14965
19,4496,14948
20,4495,14914
21,4487,14980
22,4487,14975
23,4489,14989
24,4488,14984
25,4488,14784
26,4494,14743
27,4501,14751
28,4501,14804
29,4505,14932
30,4508,14944
31,4510,14967
32,4514,14975
33,4536,15033
34,4543,15037
35,4541,14904
36,4542,14874
37,4537,14835
38,4536,14715
39,4536,14729
40,4537,14762
41,4534,14627
42,4533,14641
43,4533,14613
44,4533,14772
45,4537,14944
46,4540,14964
47,4539,14988
48,4536,14977
49,4539,14999
50,4549,15046
51,4552,15184
52,4550,15168
53,4548,15168
54,4547,15157
55,4543,15176
56,4540,15218
57,4522,15253
58,4520,15379
59,4529,15443
60,4521,15437
61,4526,15422
62,4527,15421
63,4526,15422
64,4530,15435
65,4518,15436
66,4509,15446
67,4509,15470
68,4512,15468
69,4527,15411
70,4535,15476
71,4534,15468
72,4532,15464
73,4529,15430
74,4510,15459
75,4497,15447
76,4518,15415
77,4522,15453
78,4536,15454
79,4539,15457
80,4537,15500
81,4540,15486
82,4543,15490
83,4541,15487
84,4541,15462
85,4540,15466
86,4541,15383
87,4548,15330
88,4547,15363
89,4539,15387
90,4536,15306
91,4531,15255
92,4514,15071
93,4516,14925
94,4515,14885
95,4520,14858
96,4536,14847
97,4516,14700
98,4496,14454
99,4507,14136
100,4510,13673
101,4519,13466
102,4520,13394
103,4541,13289
104,4537,12926
105,4529,12213
106,4527,11982
107,4529,11765
108,4527,11509
109,4495,10721
110,4495,10284
111,4507,10159
112,4508,10104
113,4504,9911
114,4506,9818
115,4497,9782
116,4507,9797
117,4511,9969
118,4518,9972
119,4517,10028
120,4515,10117
121,4506,9917
122,4506,9797
123,4509,9788
124,4507,9886
125,4497,10362
126,4500,10474
127,4500,10450
128,4500,10432
129,4522,10498
130,4529,10733
131,4527,11261
132,4525,12070
133,4525,12966
134,4518,13603
135,4485,14012
136,4490,14191
137,4493,14112
138,4502,14009
