timestep,demand_el,biomass,brown_lig,coal_derived_gas,fossil_gas,fossil_hardcoal,fossil_oil,fossil_oil_shale,fossil_peat,geothermal,hydro_pumped_storage,run_of_river,hydro_water_reservoir,marine,nuclear,other ,other_renewable,solar,waste,wind_offshore
1,209643.3415769,4507,14704,472,1169,5159,198,n/e,n/e,11,149,966,36,n/e,10683,2645,95,0,286,2284
2,207497.2007709,4515,14749,462,1171,4803,198,n/e,n/e,11,100,966,56,n/e,10694,2707,95,0,277,2278
3,200108.0148989,4517,14738,454,1177,4454,198,n/e,n/e,11,281,967,84,n/e,10720,2759,95,0,280,2278
4,191892.6802004,4506,14760,465,1174,4214,198,n/e,n/e,11,271,965,105,n/e,10725,2842,95,0,276,2261
5,185717.3331069,4501,14793,458,1179,4014,199,n/e,n/e,11,554,966,95,n/e,10739,2625,95,0,272,2271
6,180672.7483735,4506,14788,418,1183,3920,199,n/e,n/e,11,35,971,47,n/e,10729,2754,95,0,270,2291
7,172683.5661471,4510,14787,431,1183,3762,199,n/e,n/e,11,16,974,54,n/e,10723,2684,95,0,269,2306
8,170048.1975444,4510,14870,470,1179,3704,199,n/e,n/e,11,34,972,46,n/e,10616,2574,95,0,270,2274
9,171132.8063389,4491,14879,476,1173,3629,199,n/e,n/e,11,46,970,103,n/e,10579,2430,95,0,270,2250
10,179532.7553002,4493,14853,512,1184,3600,199,n/e,n/e,11,35,968,57,n/e,10645,2385,95,0,279,2243
11,189155.7737532,4499,14848,546,1183,3583,199,n/e,n/e,11,35,967,45,n/e,10664,2420,95,0,274,2221
12,201026.4708567,4500,14907,550,1178,3547,199,n/e,n/e,11,19,967,41,n/e,10529,2389,95,0,275,2201
13,208466.425651,4498,14976,556,1170,3443,199,n/e,n/e,11,17,962,95,n/e,10576,2344,95,0,272,2080
14,207718.7378864,4500,14993,562,1169,3379,199,n/e,n/e,11,34,954,66,n/e,10718,2247,95,0,267,2037
15,205443.3670963,4504,14979,561,1174,3370,199,n/e,n/e,11,17,951,44,n/e,10718,2301,95,0,270,1997
16,206255.669853,4506,14934,551,1167,3372,199,n/e,n/e,11,62,951,44,n/e,10718,2233,95,0,282,1932
17,217240.2184947,4491,14957,565,1162,3373,199,n/e,n/e,11,17,951,56,n/e,10725,2112,95,0,274,1934
18,232798.5854994,4492,14965,567,1171,3354,199,n/e,n/e,11,50,948,45,n/e,10688,2046,95,0,275,2012
19,237321.6349401,4496,14948,568,1171,3353,199,n/e,n/e,11,65,948,43,n/e,10600,2050,95,0,278,1963
20,232387.8187645,4495,14914,578,1172,3334,199,n/e,n/e,11,64,949,51,n/e,10421,1997,95,0,282,1862
21,224306.3294067,4487,14980,577,1168,3376,199,n/e,n/e,11,17,948,63,n/e,10445,2070,95,0,284,1722
22,219280.2060996,4487,14975,583,1171,3390,199,n/e,n/e,11,17,942,58,n/e,10476,1861,95,0,280,1578
23,223701.7176957,4489,14989,576,1170,3410,199,n/e,n/e,11,64,939,49,n/e,10498,1872,95,0,286,1574
24,213926.3924759,4488,14984,576,1162,3421,199,n/e,n/e,11,62,937,45,n/e,10454,1706,95,0,281,1456
25,201834.1582569,4488,14784,572,1166,3481,199,n/e,n/e,11,17,935,69,n/e,10425,1607,95,0,284,1370
26,192215.7551605,4494,14743,570,1169,3486,199,n/e,n/e,11,8,933,64,n/e,10423,1425,95,0,279,1365
27,187152.7090008,4501,14751,562,1169,3517,199,n/e,n/e,11,0,939,77,n/e,10425,1693,95,0,280,1292
28,184355.8029181,4501,14804,568,1171,3564,199,n/e,n/e,11,47,940,56,n/e,10414,1728,95,0,290,1291
29,184438.8793364,4505,14932,566,1177,3558,200,n/e,n/e,11,18,942,93,n/e,10321,1743,95,0,279,1134
30,182786.5816836,4508,14944,569,1178,3568,200,n/e,n/e,11,0,943,79,n/e,10304,1794,95,0,270,921
31,180105.0595152,4510,14967,566,1185,3580,200,n/e,n/e,11,617,942,38,n/e,10265,1811,95,0,277,949
32,191509.6056049,4514,14975,569,1184,3628,200,n/e,n/e,11,797,939,27,n/e,10292,2042,95,0,276,803
33,207104.8954623,4536,15033,566,1179,3670,200,n/e,n/e,11,573,949,28,n/e,10388,1909,95,8,269,690
34,222501.724987,4543,15037,568,1186,3757,200,n/e,n/e,11,205,952,33,n/e,10366,2012,95,42,269,683
35,231127.8264203,4541,14904,569,1188,3870,200,n/e,n/e,11,10,951,29,n/e,10285,2026,95,147,268,634
36,238410.8590912,4542,14874,567,1181,3854,199,n/e,n/e,11,145,981,82,n/e,10272,2085,95,351,267,597
37,241184.688391,4537,14835,566,1180,3713,199,n/e,n/e,11,186,1010,63,n/e,10256,2230,95,583,271,497
38,237413.9420716,4536,14715,565,1183,3730,199,n/e,n/e,11,368,1013,57,n/e,10359,2505,95,775,269,432
39,234469.3445786,4536,14729,560,1191,3937,199,n/e,n/e,11,285,1011,31,n/e,10368,2679,95,1013,270,425
40,235193.9555604,4537,14762,563,1211,4074,199,n/e,n/e,11,199,1010,24,n/e,10285,2697,95,1487,269,420
41,242730.8328427,4534,14627,568,1245,4250,199,n/e,n/e,11,183,1004,23,n/e,10182,2714,95,1896,263,388
42,264196.8562598,4533,14641,561,1250,4548,199,n/e,n/e,11,16,1001,44,n/e,10239,2770,95,2330,262,343
43,265950.6917572,4533,14613,560,1256,4594,199,n/e,n/e,11,113,1002,43,n/e,10259,2816,95,2720,267,280
44,260283.0338866,4533,14772,560,1259,4958,199,n/e,n/e,11,8,1002,60,n/e,10248,2877,95,3144,269,223
45,245578.5078477,4537,14944,554,1255,5340,199,n/e,n/e,11,359,993,43,n/e,10137,2655,95,3468,265,175
46,238849.3179655,4540,14964,541,1263,5390,198,n/e,n/e,11,436,994,43,n/e,10149,2919,95,3697,272,174
47,241553.9169168,4539,14988,559,1260,5457,198,n/e,n/e,11,296,995,34,n/e,10234,2928,95,3859,279,182
48,231372.4403186,4536,14977,565,1250,5587,198,n/e,n/e,11,181,992,57,n/e,10254,3051,95,4046,288,166
49,218135.5976697,4539,14999,562,1244,5700,198,n/e,n/e,11,412,994,49,n/e,10350,2910,95,4123,287,154
50,208761.8084717,4549,15046,564,1240,5745,198,n/e,n/e,11,683,991,31,n/e,10390,2898,95,4141,279,140
51,201492.6218705,4552,15184,558,1248,5763,198,n/e,n/e,11,855,992,17,n/e,10458,2867,95,4085,279,130
52,194421.895602,4550,15168,556,1238,5783,198,n/e,n/e,11,531,995,10,n/e,10506,2653,95,4135,272,107
53,192118.8326725,4548,15168,559,1238,5925,199,n/e,n/e,11,400,1002,9,n/e,10478,2152,95,3978,278,83
54,187983.4731838,4547,15157,565,1237,5850,199,n/e,n/e,11,127,1004,46,n/e,10507,2138,95,3881,272,89
55,181517.3586262,4543,15176,563,1248,5769,198,n/e,n/e,11,164,1005,74,n/e,10564,2226,95,3637,273,85
56,185246.5667365,4540,15218,571,1243,5791,198,n/e,n/e,11,467,1008,62,n/e,10602,2356,95,3372,269,77
57,191874.2187741,4522,15253,571,1234,5744,199,n/e,n/e,11,285,1020,28,n/e,10670,2674,95,3037,269,69
58,202715.6913621,4520,15379,569,1244,5714,200,n/e,n/e,11,445,1023,64,n/e,10693,2731,95,2629,269,59
59,213700.2400039,4529,15443,574,1252,5754,199,n/e,n/e,11,414,1027,45,n/e,10705,2525,95,2248,269,41
60,225649.3981692,4521,15437,579,1237,5817,198,n/e,n/e,11,734,1024,73,n/e,10664,2348,95,1854,263,25
61,229346.2987835,4526,15422,580,1223,5823,198,n/e,n/e,11,667,1034,17,n/e,10676,2141,95,1407,269,15
62,223484.7959368,4527,15421,572,1217,5804,198,n/e,n/e,11,563,1039,20,n/e,10674,2192,95,983,269,5
63,219326.3596653,4526,15422,572,1223,5807,198,n/e,n/e,11,1424,1041,49,n/e,10678,2295,95,632,266,4
64,218684.8251018,4530,15435,575,1210,5822,198,n/e,n/e,11,1642,1046,93,n/e,10687,2373,95,341,265,2
65,230273.9854545,4518,15436,572,1219,5803,199,n/e,n/e,11,491,1032,22,n/e,10681,2405,95,136,264,2
66,249824.6358941,4509,15446,569,1224,5978,200,n/e,n/e,11,1646,1038,25,n/e,10685,2504,95,41,269,2
67,254873.835984,4509,15470,566,1233,6246,200,n/e,n/e,11,1302,1035,54,n/e,10686,2704,95,18,267,2
68,249547.7144998,4512,15468,564,1230,6562,199,n/e,n/e,11,1721,1033,49,n/e,10693,2944,95,7,267,2
69,239841.6196285,4527,15411,566,1228,6757,198,n/e,n/e,11,1388,1029,31,n/e,10559,3131,95,0,265,2
70,235807.7979845,4535,15476,574,1227,6797,199,n/e,n/e,11,3231,1027,40,n/e,10555,3237,95,0,269,2
71,240723.1527338,4534,15468,572,1243,6809,198,n/e,n/e,11,3582,1024,30,n/e,10559,3289,95,0,264,3
