"Area","MTU","Biomass  - Actual Aggregated [MW]","Biomass  - Actual Consumption [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Consumption [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Consumption [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Consumption [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Consumption [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil  - Actual Consumption [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Consumption [MW]","Fossil Peat  - Actual Aggregated [MW]","Fossil Peat  - Actual Consumption [MW]","Geothermal  - Actual Aggregated [MW]","Geothermal  - Actual Consumption [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Run-of-river and poundage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Consumption [MW]","Marine  - Actual Aggregated [MW]","Marine  - Actual Consumption [MW]","Nuclear  - Actual Aggregated [MW]","Nuclear  - Actual Consumption [MW]","Other  - Actual Aggregated [MW]","Other  - Actual Consumption [MW]","Other renewable  - Actual Aggregated [MW]","Other renewable  - Actual Consumption [MW]","Solar  - Actual Aggregated [MW]","Solar  - Actual Consumption [MW]","Waste  - Actual Aggregated [MW]","Waste  - Actual Consumption [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Offshore  - Actual Consumption [MW]","Wind Onshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Consumption [MW]"
"Germany (DE)","01.01.2016 00:00 - 01.01.2016 00:15 (CET)","4507","0","14704","0","472","0","1169","0","5159","0","198","6","n/e","n/e","n/e","n/e","11","0","149","647","966","0","36","0","n/e","n/e","10683","0","2645","0","95","0","0","0","286","0","2284","","6594","0"
"Germany (DE)","01.01.2016 00:15 - 01.01.2016 00:30 (CET)","4515","0","14749","0","462","0","1171","0","4803","0","198","6","n/e","n/e","n/e","n/e","11","0","100","476","966","0","56","0","n/e","n/e","10694","0","2707","0","95","0","0","0","277","0","2278","","6409","0"
"Germany (DE)","01.01.2016 00:30 - 01.01.2016 00:45 (CET)","4517","0","14738","0","454","0","1177","0","4454","0","198","6","n/e","n/e","n/e","n/e","11","0","281","398","967","0","84","0","n/e","n/e","10720","0","2759","0","95","0","0","0","280","0","2278","","6276","0"
"Germany (DE)","01.01.2016 00:45 - 01.01.2016 01:00 (CET)","4506","0","14760","0","465","0","1174","0","4214","0","198","5","n/e","n/e","n/e","n/e","11","0","271","516","965","0","105","0","n/e","n/e","10725","0","2842","0","95","0","0","0","276","0","2261","","6209","0"
"Germany (DE)","01.01.2016 01:00 - 01.01.2016 01:15 (CET)","4501","0","14793","0","458","0","1179","0","4014","0","199","5","n/e","n/e","n/e","n/e","11","0","554","500","966","0","95","0","n/e","n/e","10739","0","2625","0","95","0","0","0","272","0","2271","","6252","0"
"Germany (DE)","01.01.2016 01:15 - 01.01.2016 01:30 (CET)","4506","0","14788","0","418","0","1183","0","3920","0","199","5","n/e","n/e","n/e","n/e","11","0","35","597","971","0","47","0","n/e","n/e","10729","0","2754","0","95","0","0","0","270","0","2291","","6250","0"
"Germany (DE)","01.01.2016 01:30 - 01.01.2016 01:45 (CET)","4510","0","14787","0","431","0","1183","0","3762","0","199","6","n/e","n/e","n/e","n/e","11","0","16","1064","974","0","54","0","n/e","n/e","10723","0","2684","0","95","0","0","0","269","0","2306","","6313","0"
"Germany (DE)","01.01.2016 01:45 - 01.01.2016 02:00 (CET)","4510","0","14870","0","470","0","1179","0","3704","0","199","6","n/e","n/e","n/e","n/e","11","0","34","1161","972","0","46","0","n/e","n/e","10616","0","2574","0","95","0","0","0","270","0","2274","","6360","0"
"Germany (DE)","01.01.2016 02:00 - 01.01.2016 02:15 (CET)","4491","0","14879","0","476","0","1173","0","3629","0","199","6","n/e","n/e","n/e","n/e","11","0","46","945","970","0","103","0","n/e","n/e","10579","0","2430","0","95","0","0","0","270","0","2250","","6316","0"
"Germany (DE)","01.01.2016 02:15 - 01.01.2016 02:30 (CET)","4493","0","14853","0","512","0","1184","0","3600","0","199","6","n/e","n/e","n/e","n/e","11","0","35","1340","968","0","57","0","n/e","n/e","10645","0","2385","0","95","0","0","0","279","0","2243","","6300","0"
