1,2,3,pv,wind,wind_offshore,wind_onshore
1,2,,0,5640,,
1,2,,0,6075,,
2013-12-01T02:00:00Z,2013-12-01T03:00:00+0100,,0,6636,,
2013-12-01T03:00:00Z,2013-12-01T04:00:00+0100,,0,7442,,
2013-12-01T04:00:00Z,2013-12-01T05:00:00+0100,,0,8168,,
2013-12-01T05:00:00Z,2013-12-01T06:00:00+0100,,0,8702,,
2013-12-01T06:00:00Z,2013-12-01T07:00:00+0100,,2,9688,,
2013-12-01T07:00:00Z,2013-12-01T08:00:00+0100,,422,10479,,
2013-12-01T08:00:00Z,2013-12-01T09:00:00+0100,,1945,10558,,
2013-12-01T09:00:00Z,2013-12-01T10:00:00+0100,,3877,10799,,
2013-12-01T10:00:00Z,2013-12-01T11:00:00+0100,,5279,11470,,
2013-12-01T11:00:00Z,2013-12-01T12:00:00+0100,,5270,12020,,
2013-12-01T12:00:00Z,2013-12-01T13:00:00+0100,,4142,12443,,
2013-12-01T13:00:00Z,2013-12-01T14:00:00+0100,,2495,11996,,
2013-12-01T14:00:00Z,2013-12-01T15:00:00+0100,,932,11354,,
2013-12-01T15:00:00Z,2013-12-01T16:00:00+0100,,100,10949,,
2013-12-01T16:00:00Z,2013-12-01T17:00:00+0100,,0,10548,,
2013-12-01T17:00:00Z,2013-12-01T18:00:00+0100,,0,9676,,
2013-12-01T18:00:00Z,2013-12-01T19:00:00+0100,,0,8608,,
2013-12-01T19:00:00Z,2013-12-01T20:00:00+0100,,0,7501,,
2013-12-01T20:00:00Z,2013-12-01T21:00:00+0100,,0,6520,,
2013-12-01T21:00:00Z,2013-12-01T22:00:00+0100,,0,5391,,
2013-12-01T22:00:00Z,2013-12-01T23:00:00+0100,,0,4558,,
2013-12-01T23:00:00Z,2013-12-02T00:00:00+0100,,0,4098,,
2013-12-02T00:00:00Z,2013-12-02T01:00:00+0100,,0,3696,,
