Datum;Uhrzeit;8:00 Uhr Prognose [MW];Online Hochrechnung [MW]
01.01.2016;00:00 - 00:15;1168;1541
01.01.2016;00:15 - 00:30;1174;1527
01.01.2016;00:30 - 00:45;1170;1489
01.01.2016;00:45 - 01:00;1196;1467
01.01.2016;01:00 - 01:15;1222;1465
01.01.2016;01:15 - 01:30;1227;1491
01.01.2016;01:30 - 01:45;1209;1512
01.01.2016;01:45 - 02:00;1215;1545
01.01.2016;02:00 - 02:15;1229;1522
01.01.2016;02:15 - 02:30;1201;1493
01.01.2016;02:30 - 02:45;1185;1466
01.01.2016;02:45 - 03:00;1183;1418
01.01.2016;03:00 - 03:15;1186;1371
01.01.2016;03:15 - 03:30;1171;1338
01.01.2016;03:30 - 03:45;1130;1304
01.01.2016;03:45 - 04:00;1092;1286
01.01.2016;04:00 - 04:15;1062;1261
01.01.2016;04:15 - 04:30;1035;1222
01.01.2016;04:30 - 04:45;991;1165
01.01.2016;04:45 - 05:00;951;1088
01.01.2016;05:00 - 05:15;929;1000
01.01.2016;05:15 - 05:30;918;963
01.01.2016;05:30 - 05:45;895;924
01.01.2016;05:45 - 06:00;876;871
01.01.2016;06:00 - 06:15;855;841
01.01.2016;06:15 - 06:30;833;814
01.01.2016;06:30 - 06:45;795;796
01.01.2016;06:45 - 07:00;757;753
01.01.2016;07:00 - 07:15;729;722
01.01.2016;07:15 - 07:30;716;730
01.01.2016;07:30 - 07:45;677;720
01.01.2016;07:45 - 08:00;645;711
01.01.2016;08:00 - 08:15;627;691
01.01.2016;08:15 - 08:30;618;673
01.01.2016;08:30 - 08:45;609;610
01.01.2016;08:45 - 09:00;591;564
01.01.2016;09:00 - 09:15;567;518
01.01.2016;09:15 - 09:30;553;471
01.01.2016;09:30 - 09:45;514;425
01.01.2016;09:45 - 10:00;453;380
01.01.2016;10:00 - 10:15;421;315
01.01.2016;10:15 - 10:30;383;252
01.01.2016;10:30 - 10:45;355;211
01.01.2016;10:45 - 11:00;378;172
01.01.2016;11:00 - 11:15;358;131
01.01.2016;11:15 - 11:30;348;98
01.01.2016;11:30 - 11:45;342;90
01.01.2016;11:45 - 12:00;335;67
01.01.2016;12:00 - 12:15;335;56
01.01.2016;12:15 - 12:30;335;52
01.01.2016;12:30 - 12:45;333;50
01.01.2016;12:45 - 13:00;319;48
